,Restaurant_Name,Image_URL,Restaurant_URL,Address,Postal_Code,Phone
0,一蘭-新宿中央東口店-新宿区-2,https://s3-media3.fl.yelpcdn.com/bphoto/ivjbdZ1OuZh4EFQmHtpsIg/o.jpg,https://www.yelp.com/biz/%E4%B8%80%E8%98%AD-%E6%96%B0%E5%AE%BF%E4%B8%AD%E5%A4%AE%E6%9D%B1%E5%8F%A3%E5%BA%97-%E6%96%B0%E5%AE%BF%E5%8C%BA-2?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,新宿3-34-11ピースビルB1F,160-0022,+81 3-3225-5518
1,すごい煮干ラーメン凪-新宿ゴールデン街店本館-新宿区,https://s3-media4.fl.yelpcdn.com/bphoto/AJPcJNmZcAW77MkTJg3qyA/o.jpg,https://www.yelp.com/biz/%E3%81%99%E3%81%94%E3%81%84%E7%85%AE%E5%B9%B2%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%E5%87%AA-%E6%96%B0%E5%AE%BF%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%87%E3%83%B3%E8%A1%97%E5%BA%97%E6%9C%AC%E9%A4%A8-%E6%96%B0%E5%AE%BF%E5%8C%BA?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,歌舞伎町1-1-10新宿ゴールデン街内2F,160-0021,+81 3-3205-1925
2,治郎丸-新宿本店-新宿区,https://s3-media2.fl.yelpcdn.com/bphoto/UpR46eWBpRI4y2ppAXNqKg/o.jpg,https://www.yelp.com/biz/%E6%B2%BB%E9%83%8E%E4%B8%B8-%E6%96%B0%E5%AE%BF%E6%9C%AC%E5%BA%97-%E6%96%B0%E5%AE%BF%E5%8C%BA?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,歌舞伎町1-26-3かぶきビル 1F,160-0021,+81 3-6380-3292
3,鍋ぞう-新宿三丁目店-新宿区-2,https://s3-media2.fl.yelpcdn.com/bphoto/v7sAt3WMD1wTYUG5X-0euw/o.jpg,https://www.yelp.com/biz/%E9%8D%8B%E3%81%9E%E3%81%86-%E6%96%B0%E5%AE%BF%E4%B8%89%E4%B8%81%E7%9B%AE%E5%BA%97-%E6%96%B0%E5%AE%BF%E5%8C%BA-2?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,新宿3丁目30-11新宿高野第2ビル8F,160-0022,+81 3-5363-4629
4,風雲児-渋谷区,https://s3-media1.fl.yelpcdn.com/bphoto/ScNpbwS6okkGhWSMO66TEg/o.jpg,https://www.yelp.com/biz/%E9%A2%A8%E9%9B%B2%E5%85%90-%E6%B8%8B%E8%B0%B7%E5%8C%BA?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,代々木2-14-3北斗第一ビルB1F,151-0053,+81 3-6413-8480
5,龍の家新宿小滝橋通り店-新宿区-2,https://s3-media4.fl.yelpcdn.com/bphoto/2KU3N2vP1aeYdsLazqQYkw/o.jpg,https://www.yelp.com/biz/%E9%BE%8D%E3%81%AE%E5%AE%B6%E6%96%B0%E5%AE%BF%E5%B0%8F%E6%BB%9D%E6%A9%8B%E9%80%9A%E3%82%8A%E5%BA%97-%E6%96%B0%E5%AE%BF%E5%8C%BA-2?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,西新宿7-4-5富士野ビル 1F,160-0023,+81 3-6304-0899
6,つるとんたん-新宿店-新宿区,https://s3-media2.fl.yelpcdn.com/bphoto/6M8ScfYXvuvl9uG6V9rp5g/o.jpg,https://www.yelp.com/biz/%E3%81%A4%E3%82%8B%E3%81%A8%E3%82%93%E3%81%9F%E3%82%93-%E6%96%B0%E5%AE%BF%E5%BA%97-%E6%96%B0%E5%AE%BF%E5%8C%BA?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,歌舞伎町2-26-3網元ビル B1F,160-0021,+81 3-5287-2626
7,牛かつもと村-新宿南口店-新宿区,https://s3-media2.fl.yelpcdn.com/bphoto/-H0R_DLx11k0hSZ8ONnd4g/o.jpg,https://www.yelp.com/biz/%E7%89%9B%E3%81%8B%E3%81%A4%E3%82%82%E3%81%A8%E6%9D%91-%E6%96%B0%E5%AE%BF%E5%8D%97%E5%8F%A3%E5%BA%97-%E6%96%B0%E5%AE%BF%E5%8C%BA?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,新宿3-32-2モトビル地下1F,160-0022,+81 3-3354-0171
8,うどん-慎-渋谷区,https://s3-media1.fl.yelpcdn.com/bphoto/X7fTbYKBHn2V6LFXBsTwPA/o.jpg,https://www.yelp.com/biz/%E3%81%86%E3%81%A9%E3%82%93-%E6%85%8E-%E6%B8%8B%E8%B0%B7%E5%8C%BA?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,代々木2-20-16相馬ビル 1F,151-0053,+81 3-6276-7816
9,ナリサワ-港区-2,https://s3-media3.fl.yelpcdn.com/bphoto/c0Vy6X_hiKl5b4XYmG2mDQ/o.jpg,https://www.yelp.com/biz/%E3%83%8A%E3%83%AA%E3%82%B5%E3%83%AF-%E6%B8%AF%E5%8C%BA-2?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,南青山2-6-15,107-0062,+81 3-5785-0799
10,一蘭-渋谷店-渋谷区-2,https://s3-media2.fl.yelpcdn.com/bphoto/-tkjUotpBUGe7ynE138Fjg/o.jpg,https://www.yelp.com/biz/%E4%B8%80%E8%98%AD-%E6%B8%8B%E8%B0%B7%E5%BA%97-%E6%B8%8B%E8%B0%B7%E5%8C%BA-2?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,神南1-22-7岩本ビルB1F,150-0041,+81 3-3463-3667
11,とんかつまい泉-青山本店-渋谷区,https://s3-media1.fl.yelpcdn.com/bphoto/sVfY6UYWq6Q3oTCx8QVViQ/o.jpg,https://www.yelp.com/biz/%E3%81%A8%E3%82%93%E3%81%8B%E3%81%A4%E3%81%BE%E3%81%84%E6%B3%89-%E9%9D%92%E5%B1%B1%E6%9C%AC%E5%BA%97-%E6%B8%8B%E8%B0%B7%E5%8C%BA?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,神宮前4-8-5,150-0001,+81 120-428-485
12,六歌仙-新宿区,https://s3-media3.fl.yelpcdn.com/bphoto/J-9WgTgKgpOmh-ciz7oF_g/o.jpg,https://www.yelp.com/biz/%E5%85%AD%E6%AD%8C%E4%BB%99-%E6%96%B0%E5%AE%BF%E5%8C%BA?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,西新宿1-3-1サンフラワービル6F、7F,160-0023,+81 3-3348-8676
13,カレーハウスcoco壱番屋-新宿駅西口店-新宿区-2,https://s3-media3.fl.yelpcdn.com/bphoto/UwUvMK3hWVzB9ubA9ghQtw/o.jpg,https://www.yelp.com/biz/%E3%82%AB%E3%83%AC%E3%83%BC%E3%83%8F%E3%82%A6%E3%82%B9coco%E5%A3%B1%E7%95%AA%E5%B1%8B-%E6%96%B0%E5%AE%BF%E9%A7%85%E8%A5%BF%E5%8F%A3%E5%BA%97-%E6%96%B0%E5%AE%BF%E5%8C%BA-2?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,西新宿1-2-12,160-0023,+81 3-3345-0775
14,神戸牛511-港区,https://s3-media3.fl.yelpcdn.com/bphoto/xh2kDgLaM1NTVTRCGVIOlQ/o.jpg,https://www.yelp.com/biz/%E7%A5%9E%E6%88%B8%E7%89%9B511-%E6%B8%AF%E5%8C%BA?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,港区赤坂4-3-28ディアプラザ赤坂B,1070052,+81 3-6685-0511
15,ウォータリングホール-渋谷区,https://s3-media3.fl.yelpcdn.com/bphoto/nM87OuCDfuSSZQsfO0Nlqw/o.jpg,https://www.yelp.com/biz/%E3%82%A6%E3%82%A9%E3%83%BC%E3%82%BF%E3%83%AA%E3%83%B3%E3%82%B0%E3%83%9B%E3%83%BC%E3%83%AB-%E6%B8%8B%E8%B0%B7%E5%8C%BA?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,千駄ヶ谷5-26-5代々木シティホームズ 1F,151-0051,+81 3-6380-6115
16,一蘭-渋谷スペイン坂店-渋谷区,https://s3-media3.fl.yelpcdn.com/bphoto/fmthwOiJjglD37bGcuseIQ/o.jpg,https://www.yelp.com/biz/%E4%B8%80%E8%98%AD-%E6%B8%8B%E8%B0%B7%E3%82%B9%E3%83%9A%E3%82%A4%E3%83%B3%E5%9D%82%E5%BA%97-%E6%B8%8B%E8%B0%B7%E5%8C%BA?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,宇田川町13-7コヤスワンB1F,150-0042,+81 3-3464-0787
17,リシュー-渋谷区,https://s3-media3.fl.yelpcdn.com/bphoto/WqVZdSjh7YWIT8rFUl_Wsg/o.jpg,https://www.yelp.com/biz/%E3%83%AA%E3%82%B7%E3%83%A5%E3%83%BC-%E6%B8%8B%E8%B0%B7%E5%8C%BA?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,神宮前3-25-7丹治ビル 2F,150-0001,+81 3-5785-3144
18,entertainment-dining-bar-kujira-新宿区,https://s3-media3.fl.yelpcdn.com/bphoto/BNSE4urTn5xf6RyOuMZamA/o.jpg,https://www.yelp.com/biz/entertainment-dining-bar-kujira-%E6%96%B0%E5%AE%BF%E5%8C%BA?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,歌舞伎町2-23-1風林会館B2F,160-0021,+81 3-6205-6675
19,魚がし日本一-新宿西口店-新宿区,https://s3-media3.fl.yelpcdn.com/bphoto/IHxsk7ypXHyvx-nN3CrCQA/o.jpg,https://www.yelp.com/biz/%E9%AD%9A%E3%81%8C%E3%81%97%E6%97%A5%E6%9C%AC%E4%B8%80-%E6%96%B0%E5%AE%BF%E8%A5%BF%E5%8F%A3%E5%BA%97-%E6%96%B0%E5%AE%BF%E5%8C%BA?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,西新宿1-12河西ビル1F,160-0023,+81 3-3349-1739
